# Pinyin Golden Corpus — regelkritischer Teil, VON HAND.
#
# Diese Fälle lassen sich nicht aus den Daten ableiten, weil genau die
# Ausnahmen sie interessant machen. Jeder Sollwert ist einzeln hergeleitet;
# die Spalte `basis` sagt woraus. Der datengestützte Teil steht in
# pinyin-corpus.tsv und wird von tools/generate-pinyin-corpus.py erzeugt.
#
# Spalten: Kategorie, Hanzi, erwartete Lernaussprache, needsReview, Herkunft.
#
# Ein leeres Erwartungsfeld heißt: **keine** Erwartung an den Text, nur an
# needsReview. Das ist Kategorie J — dort ist der Text ein ICU-Rateergebnis,
# und das als Sollwert festzuschreiben würde ein Raten zur Wahrheit erklären.
#
# Kategorien:
#   E  längere Folgen dritter Töne — die Verzweigung entscheidet
#   F  一-Sandhi samt Ausnahmen
#   G  不-Sandhi samt lexikalischem Neutralton
#   J  bekannte nicht auflösbare Fälle — müssen als prüfbedürftig gelten
#   K  Wortgrenzen — die einzigen Fälle, die auf Abstand geprüft werden
#
# Regelquelle für F und G: 北京语言大学, 现代汉语, Kapitel Variation:
#   一: „『一』字基调是阴平，阴阳上前全降声；去声之前念中升，叠字中间须读轻"
#   不: „『不』字基调是去声，阴阳上前不变更；去声之前变中升，叠字当中也念轻"
# Dass die App die gesprochene Form überhaupt zeigt, erlaubt
# GB/T 16159-2012 §6.5.2 ausdrücklich für den Sprachunterricht.

# --- Wortgrenzen. Nur wo ein Sollwert ein Leerzeichen enthält, prüft der
#     Benchmark den Abstand; überall sonst ist er leerzeichenunabhängig, weil
#     Wortabstände Orthografie sind und nicht Aussprache. Diese vier Fälle
#     sind die aus apple-frameworks.md Q6, an denen die Segmentierung
#     fachlich hängt: das Lexikon kennt keine Wortgrenzen, ICU liefert sie.
K	买东西	mǎi dōngxi	false	A23: Grenzen von ICU, Lesungen vom Lexikon
K	东西南北	dōngxī nánběi	false	A23: zwei Wörter, Phrase im Lexikon
K	早上好	zǎoshang hǎo	false	A23: `zao3 shang5 hao3` ist zwei Wörter
K	我不明白	wǒ bù míngbai	false	A23: nicht `不明`+`白`, sondern `不`+`明白`

# --- E: Längere Folgen dritter Töne. **Von Hand**, und zwar bewusst.
#     Diese Kategorie stand zuerst im generierten Teil, wo das Skript die
#     Regel gleichförmig von links anwandte — und damit dieselbe Annahme
#     traf wie die Implementierung. Das Review hat es gefunden: Der Corpus
#     hätte den Fehler als Erfolg gemeldet.
#
#     Der Sollwert kommt jetzt aus meinem eigenen Strukturbefund, nicht aus
#     einer Lexikonabfrage. Bei drei dritten Tönen entscheidet die
#     Verzweigung, und die Quelle gibt zwei Muster:
#       双单格 [[AB]C] → 2-2-3   (展览|馆, 广场|舞)
#       单双格 [A[BC]] → 3-2-3   (小|老鼠, 纸|老虎)
#     Bei nur **zwei** dritten Tönen in Folge ist die Struktur belanglos —
#     die erste Silbe wird immer zum zweiten Ton.
#
#     Quelle: 北京语言大学, 现代汉语 — „两个上声前后行，前头那个变阳平" für
#     das Paar; für drei Silben im 双单格 „前两个音节变阳平". Für das
#     单双格 ändert sich obligatorisch nur die Mittelsilbe; die erste ist in
#     der Literatur optional, und Optionales wird hier nicht geraten.

# 双单格 [[AB]C] → 2-2-3
E	展览馆	zhánlánguǎn	false	双单格 [[展览]馆], Ausstellungs-Halle
E	总统府	zóngtóngfǔ	false	双单格 [[总统]府], Präsidenten-Residenz
E	水彩笔	shuícáibǐ	false	双单格 [[水彩]笔], Wasserfarben-Stift
